Gene stable ID	Gene name	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)
ENSDARG00000043388	atraid	20	19512727	19516640
ENSDARG00000098112	btc	21	19368720	19389197
ENSDARG00000091418	snx17	20	19436187	19511700
ENSDARG00000071032	pnkd	6	13024448	13037815
ENSDARG00000103898		24	12058002	12061352
ENSDARG00000019302	mid1ip1b	22	11436447	11438627
ENSDARG00000099593		10	20392083	20402161
ENSDARG00000009470	hnf1a	8	39802506	39817167
ENSDARG00000060103	cpeb3	13	42406883	42472060
ENSDARG00000101586	si:ch73-389b16.1	6	24140757	24143923
ENSDARG00000105220		14	22455575	22455834
ENSDARG00000097966		3	38525979	38529416
ENSDARG00000052528		23	37277073	37280713
ENSDARG00000038563	pitrm1	2	48089057	48119409
ENSDARG00000102710		7	26613183	26616177
ENSDARG00000006031	abat	3	27832500	27880229
ENSDARG00000016630	tprb	20	34039281	34069956
ENSDARG00000003311	pank2	13	15182200	15226538
ENSDARG00000095459	si:ch211-191j22.3	21	21339423	21347380
ENSDARG00000097820		6	42618902	42622652
ENSDARG00000016065	tlr3	1	17892944	17898227
ENSDARG00000017798	bcor	22	11144153	11200846
ENSDARG00000034643	fhl3a	16	33655890	33736831
ENSDARG00000092528		24	11622196	11624867
ENSDARG00000061691	qpctla	18	37219140	37234696
ENSDARG00000058115	fgfr2	13	46298560	46429433
ENSDARG00000042120	firrm	20	33994580	34010235
ENSDARG00000004131	rttn	24	15130979	15263142
ENSDARG00000056386	tmc1	5	25652727	25668787
ENSDARG00000042533	gstm.1	8	25295160	25297928
ENSDARG00000114908		4	35900918	35913180
ENSDARG00000091894		2	7080302	7080925
ENSDARG00000062266	edc4	18	21858744	21910991
ENSDARG00000021855	arnt	16	4570417	4610278
ENSDARG00000020581	otofb	17	50313650	50374005
ENSDARG00000040190	qdpra	14	46873229	46897067
ENSDARG00000055459	dlgap3	19	37458610	37492517
ENSDARG00000093058	stmp1	4	16784553	16786244
ENSDARG00000096614	si:dkey-182i3.10	15	23534126	23542144
ENSDARG00000005320	nipsnap1	5	12032802	12063381
ENSDARG00000006677	ripk1l	2	904362	920580
ENSDARG00000042833	rffl	15	4549240	4580763
ENSDARG00000102250		2	36116544	36116606
ENSDARG00000058799	mybpha	23	6077503	6126003
ENSDARG00000110275		2	36112268	36157913
ENSDARG00000104132		2	36109002	36157911
ENSDARG00000111335		2	36105192	36105254
ENSDARG00000013240	sxph	6	40884615	40899618
ENSDARG00000037406	wdr19	1	21495850	21538673
ENSDARG00000107096		5	12030872	12031174
ENSDARG00000045611	nfybb	25	28823952	28846945
ENSDARG00000036911	scamp1	21	3715820	3770636
ENSDARG00000088204	shisa8b	12	18792315	18883079
ENSDARG00000102415	scinla	6	24090950	24103666
ENSDARG00000056609	atad1b	12	17436904	17456083
ENSDARG00000063032	dok6	24	14937205	15107330
ENSDARG00000075536	cpne1	11	26375979	26401674
ENSDARG00000019791	prmt3	7	17106160	17223955
ENSDARG00000092961		2	47935476	47938411
ENSDARG00000099843	nedd4a	18	507618	610800
ENSDARG00000062269	fan1	18	21686115	21725805
ENSDARG00000096556		20	7799615	7801342
ENSDARG00000041811	rps25	10	39125637	39130935
ENSDARG00000015070	pola2	8	17174796	17184482
ENSDARG00000096937		2	44522856	44524381
ENSDARG00000103479	ptprfa	6	2951645	3276052
ENSDARG00000115225		2	36101377	36101442
ENSDARG00000041065	hspb1	5	3568016	3584815
ENSDARG00000014137	picalmb	15	19726229	19772372
ENSDARG00000030157	mybpc2a	3	30257582	30318595
ENSDARG00000089795	sertad4	13	31805824	31829786
ENSDARG00000041887	sf3a1	8	36554816	36570665
ENSDARG00000045437	slc35b3	24	8393290	8412526
ENSDARG00000034229	kcnip3a	8	42764234	42907824
ENSDARG00000041295	lim2.5	16	50166421	50181206
ENSDARG00000101393	si:dkey-31g6.6	6	18364048	18366339
ENSDARG00000018973	clptm1	15	17074185	17095655
ENSDARG00000101798	si:ch211-24o8.2	15	14850820	14853579
ENSDARG00000056480	cpvl	16	20496691	20515806
ENSDARG00000077371	kcnk15	23	570517	574733
ENSDARG00000094149		9	15982344	15985797
ENSDARG00000017775	atp5mc3a	9	2330798	2341127
ENSDARG00000008485	lrp3	7	38278860	38310177
ENSDARG00000105098	dr1	6	24055421	24066676
ENSDARG00000016260	fxr2	7	22718251	22761090
ENSDARG00000056292	vsx1	17	21063403	21066105
ENSDARG00000094874		8	13643799	13722682
ENSDARG00000051793	zgc:113426	25	19670273	19680133
ENSDARG00000105088	tenm4	15	10000553	10455569
ENSDARG00000070930	CARTPT	22	36832648	36836085
ENSDARG00000021120	ndc1	2	26576853	26590628
ENSDARG00000079769		16	11960417	11961325
ENSDARG00000105562	batf2	7	25049545	25058145
ENSDARG00000112141		22	1751640	1757459
ENSDARG00000095754		5	19961988	19963537
ENSDARG00000100731	zgc:101540	25	32294719	32311056
ENSDARG00000091127	klf15	23	35187683	35195908
ENSDARG00000032714	gria1b	21	26152332	26250744
ENSDARG00000062828	si:ch73-171o20.1	19	11256617	11264040
ENSDARG00000100900		7	8967974	8981507
ENSDARG00000042933	bloc1s6	18	5506025	5509616
ENSDARG00000035333	mis18a	10	33588715	33594110
ENSDARG00000069833	rhbdl2	16	33142734	33154518
ENSDARG00000087375	zgc:66473	7	2427600	2430286
ENSDARG00000092454		9	15907033	15907820
ENSDARG00000092696	CYP11A1	25	22296666	22311542
ENSDARG00000062820	irgf3	19	11247054	11248982
ENSDARG00000004561		16	13020776	13109749
ENSDARG00000102796		18	336443	341489
ENSDARG00000057556	rpl17	21	18997503	19067517
ENSDARG00000075299	PRXL2C	8	1269941	1278948
ENSDARG00000103424		15	9861973	9873144
ENSDARG00000098039		21	12343684	12347702
ENSDARG00000052782	glrba	1	21423010	21483832
ENSDARG00000100481	smg6	10	35584647	35613752
ENSDARG00000104417		12	32402084	32416844
ENSDARG00000010096	slc1a6	11	6152643	6175057
ENSDARG00000092074	hcst	16	25184207	25187809
ENSDARG00000105201	adcyap1r1a	2	50862527	50899928
ENSDARG00000001712	s100p	11	8303941	8350945
ENSDARG00000037071	rps26	23	27675581	27677516
ENSDARG00000016399	riok1	2	21063660	21076570
ENSDARG00000041071	jagn1a	9	30108641	30111105
ENSDARG00000039969	akirin1	16	33121106	33141934
ENSDARG00000022438	cox6a1	8	39760258	39765996
ENSDARG00000069281	pimr109	20	43432092	43436896
ENSDARG00000110216		17	12265095	12268293
ENSDARG00000063126	gusb	5	2066262	2112030
ENSDARG00000040925	wnt10b	23	27641471	27647769
ENSDARG00000101199	rbp4	12	5115929	5120339
ENSDARG00000096778		20	43398431	43410358
ENSDARG00000097142		16	30505279	30519175
ENSDARG00000036687	bcl9	1	47331644	47411186
ENSDARG00000098230		22	1660415	1665471
ENSDARG00000034777	txn2	3	5265101	5277041
ENSDARG00000005230	ssr2	19	11231083	11238721
ENSDARG00000057644	adam8b	12	9096963	9132682
ENSDARG00000021184	rbfox1l	16	31900127	31919568
ENSDARG00000070571	inavab	11	24716837	24756816
ENSDARG00000024815	ogfr2	11	20091255	20096018
ENSDARG00000109370		25	35048945	35049318
ENSDARG00000077227	fbxl6	19	22347627	22363292
ENSDARG00000028222	ITGB8	19	2275019	2307722
ENSDARG00000016835	tcirg1a	1	44870880	44901163
ENSDARG00000055066	zdhhc20a	10	35554219	35580086
ENSDARG00000079105	mhc2dab	8	36466771	36469117
ENSDARG00000027087	tgfb2	16	2745006	2807527
ENSDARG00000070461	cdin1	17	52939748	53022822
ENSDARG00000095175	si:dkey-78l4.12	22	19517610	19518789
ENSDARG00000074829	rasip1	16	12517535	12560722
ENSDARG00000004937	skp2	21	22347120	22359336
ENSDARG00000094366	si:dkey-260g12.1	16	17102103	17116499
ENSDARG00000008784	prpf4ba	2	32812402	32826108
ENSDARG00000070546	msgn1	4	306036	308006
ENSDARG00000093154		19	23573725	23576381
ENSDARG00000098894		7	32168360	32170063
ENSDARG00000076056	iyd	23	39774931	39784368
ENSDARG00000091304	card19	11	37095165	37101987
ENSDARG00000095318		22	6170371	6176259
ENSDARG00000105465		14	24278047	24283719
ENSDARG00000096021		16	41542079	41542863
ENSDARG00000069321		18	21061216	21063379
ENSDARG00000026325	mmp11a	8	30797363	30825415
ENSDARG00000105200		2	31863717	31863765
ENSDARG00000105397		7	5910467	5910989
ENSDARG00000040463	slc25a51b	14	4178236	4184702
ENSDARG00000039979	tecrl2b	2	15300088	15324837
ENSDARG00000071727	eef1a1l3	24	10898671	10901351
ENSDARG00000099883		14	17421668	17482154
ENSDARG00000069995	dpy19l1l	16	42667560	42683501
ENSDARG00000087743		4	50410452	50414313
ENSDARG00000059388	bdh1	24	3328354	3336400
ENSDARG00000031911		20	6590220	6666641
ENSDARG00000006332	snx14	20	851583	894374
ENSDARG00000113005		4	31085014	31095639
ENSDARG00000025808	taf5l	1	53911834	53918839
ENSDARG00000076843	si:dkey-174i8.1	13	22104298	22114795
ENSDARG00000111100	si:dkey-265c15.9	13	9091958	9115727
ENSDARG00000030479	hmgb1b	15	31513065	31516583
ENSDARG00000002249	tbxas1	18	12655766	12834323
ENSDARG00000005221	desmb	6	13871641	13891727
ENSDARG00000008022	kif18a	7	31976764	32021853
ENSDARG00000094312		10	8128374	8129456
ENSDARG00000062781	glsl	25	19485198	19521245
ENSDARG00000061208	rab40c	3	26751861	26787430
ENSDARG00000093905		2	32758663	32760332
ENSDARG00000105197		7	62735810	62736782
ENSDARG00000073781		21	25544882	25555355
ENSDARG00000093007	mphosph6	25	35952036	35956344
ENSDARG00000060308	urb1	15	5627877	5720666
ENSDARG00000077404	ncoa3	11	18612166	18699569
ENSDARG00000000651	osgepl1	9	41040294	41045873
ENSDARG00000061177	mov10b.1	8	27659244	27687095
ENSDARG00000028507	itgb4	8	13106760	13159587
ENSDARG00000038608	sdhc	2	44192652	44199840
ENSDARG00000002791	atp1a1a.1	1	1712140	1793371
ENSDARG00000025043	trip13	16	52966812	52991487
ENSDARG00000095873		23	43939124	43939823
ENSDARG00000062794	trim36	8	391590	410770
ENSDARG00000100312	hoxa13a	19	19729506	19731291
ENSDARG00000094171		22	14363952	14475927
ENSDARG00000086553	nlrc3l1	21	25533531	25543402
ENSDARG00000032496	pon1	16	24646600	24656265
ENSDARG00000093852		22	6065987	6066867
ENSDARG00000097262		8	43934595	43940177
ENSDARG00000097909	si:dkey-195m11.11	6	39290777	39306721
ENSDARG00000005840	got2b	7	51774502	51793881
ENSDARG00000035074	rtel1	11	12811906	12859263
ENSDARG00000086158	ccbe1	21	10577527	10676769
ENSDARG00000019492	shbg	12	22511015	22524388
ENSDARG00000016936	hmcn1	20	34157308	34292607
ENSDARG00000009738	cacnb4a	9	38074082	38130085
ENSDARG00000045801	fbxl14b	4	8609517	8611841
ENSDARG00000076790	crygm2d16	9	22157282	22158325
ENSDARG00000034165	LINGO1	25	7229046	7230905
ENSDARG00000092714	si:ch211-266a5.12	4	13499264	13502549
ENSDARG00000090116	znf1136	4	40953320	41014777
ENSDARG00000041007		15	31454930	31457948
ENSDARG00000096463		4	40971399	40972393
ENSDARG00000008790	actr3b	24	7294929	7321934
ENSDARG00000099365		19	19717971	19871211
ENSDARG00000036065	mgat1b	19	27366932	27395531
ENSDARG00000095200		4	49765093	49808690
ENSDARG00000100508	ubn2b	3	7839880	7897563
ENSDARG00000044809	fpgs	21	6114305	6134570
ENSDARG00000091609	spink4	1	12135129	12138612
ENSDARG00000043485	si:ch211-22i13.2	20	14003060	14012859
ENSDARG00000061560	stim1b	21	30841241	30935262
ENSDARG00000104307	hoxa1a	19	19786117	19787752
ENSDARG00000015292	ube2g1a	5	30986512	30995108
ENSDARG00000060788	lrrc14b	19	44039849	44047176
ENSDARG00000002467	rdh14b	20	9421448	9428021
ENSDARG00000038955		2	24352497	24355324
ENSDARG00000071456	crp7	24	38137473	38192003
ENSDARG00000032098	c8g	24	17031129	17039638
ENSDARG00000028912		7	5699624	5711197
ENSDARG00000059235	zgc:113274	10	5135842	5147582
ENSDARG00000105532	znf16l	7	18462242	18470963
ENSDARG00000002394	ugt5d1	10	25726694	25728744
ENSDARG00000059781	atcayb	2	55914699	55970970
ENSDARG00000105069		6	19146424	19147218
ENSDARG00000053630	itln4	7	29509255	29515727
ENSDARG00000018006	vrk1	17	18773961	18797245
ENSDARG00000101145		16	26081481	26132122
ENSDARG00000104398	si:ch73-343g19.4	16	45149355	45152169
ENSDARG00000093569	bckdhbl	3	16240984	16289826
ENSDARG00000011537	ugt2a5	5	69868911	69876834
ENSDARG00000031387	cers4a	22	4707663	4733106
ENSDARG00000070774	irgf1	19	23296616	23312618
ENSDARG00000062472	sin3b	8	14211746	14239023
ENSDARG00000092249		19	23308419	23310593
ENSDARG00000054975	cxcr2	9	48108174	48109197
ENSDARG00000063451		2	2181709	2207243
ENSDARG00000099773	olfcg4	18	32979166	32982171
ENSDARG00000023479		5	9179578	9216758
ENSDARG00000035540		5	22974019	23020606
ENSDARG00000095199		23	16744782	16746423
ENSDARG00000058022	ormdl2	23	31962383	31969786
ENSDARG00000035507	ddx31	5	29714786	29745566
ENSDARG00000104854	olfcg3	18	32950480	32955791
ENSDARG00000055837	arhgef1b	16	26140895	26232411
ENSDARG00000074617	wfs1b	14	17329895	17351159
ENSDARG00000088867		16	42477155	42477952
ENSDARG00000096528		1	58608978	58613487
ENSDARG00000053884	med13a	10	28029578	28118035
ENSDARG00000028066	diras1a	11	7324704	7341807
ENSDARG00000044924	gdf11	11	15613218	15756385
ENSDARG00000103941		16	45130921	45134479
ENSDARG00000031930		4	8376362	8515824
ENSDARG00000101009	cited4b	16	35535171	35537491
ENSDARG00000023645	surf6	5	33264842	33280699
ENSDARG00000026871	uchl1	1	22647756	22652424
ENSDARG00000094410	si:dkey-4c15.14	22	2368904	2389251
ENSDARG00000105171		22	23969080	23969709
ENSDARG00000008457	faah2a	1	40237276	40258430
ENSDARG00000056680	stc2a	14	24215046	24221965
ENSDARG00000062146	larp4b	24	26997798	27019540
ENSDARG00000035427	surf6	5	33275150	33281156
ENSDARG00000075456	pik3ca	11	34488869	34522249
ENSDARG00000039501	ugt2a6	5	69856153	69865574
ENSDARG00000030156	naglu	24	36303637	36316104
ENSDARG00000031420	wt1a	25	15178225	15214161
ENSDARG00000090889	lect2.2	14	36886950	36893215
ENSDARG00000061864	hdlbpb	12	22404108	22445061
ENSDARG00000040465	irf2b	14	4084120	4121052
ENSDARG00000019406	C7H11orf68	7	756942	763406
ENSDARG00000009657	fgfr1op2	4	1722899	1730920
ENSDARG00000028088	galk1	12	33790121	33805366
ENSDARG00000103130		3	29654961	29663763
ENSDARG00000096619		1	56955349	56960001
ENSDARG00000097332		15	46198434	46200357
ENSDARG00000056498	crp5	24	38109799	38113208
ENSDARG00000041203	drap1	7	742517	753231
ENSDARG00000009885	sult3st1	3	29655677	29671653
ENSDARG00000044875		9	22080122	22080989
ENSDARG00000074552	ndufs7	11	5842632	5852715
ENSDARG00000004953	mxb	1	7574351	7603734
ENSDARG00000022045	map1ab	25	19356587	19433244
ENSDARG00000092802		9	18605460	18608269
ENSDARG00000079632	pold4	1	44707054	44710937
ENSDARG00000044956	zgc:114123	23	2728095	2745986
ENSDARG00000077368	slc30a6	13	269822	280827
ENSDARG00000058597	nt5c3a	16	7214005	7239508
ENSDARG00000011196	dnajc11a	23	30707837	30724909
ENSDARG00000013203		1	56943492	56948694
ENSDARG00000028259	aldh3a2a	15	20830146	20839910
ENSDARG00000105510		16	7227584	7294953
ENSDARG00000014806	hacd2	9	38029475	38042939
ENSDARG00000093671		24	38098896	38099675
ENSDARG00000079187	TBX19	6	9204099	9220775
ENSDARG00000105628		7	29502874	29506147
ENSDARG00000007671	ghrb	21	20742876	20765338
ENSDARG00000008788	camk1gb	23	39558508	39597901
ENSDARG00000086623		24	29563767	29586082
ENSDARG00000097931		5	28282449	28286213
ENSDARG00000088699	pdzd8	17	23820450	23895026
ENSDARG00000089794		24	7153628	7158301
ENSDARG00000057536	crygm2a	9	22075528	22076368
ENSDARG00000097901		16	50889118	50897887
ENSDARG00000051851	ctu2	7	55292959	55325712
ENSDARG00000039215	arrb2a	10	22890791	22907418
ENSDARG00000092561	pimr201	5	42308955	42314715
ENSDARG00000105442	LOXL4	11	44337157	44347587
ENSDARG00000022503	PKD2L1	13	25455319	25471376
ENSDARG00000029439	atp2a2a	8	11687254	11744994
ENSDARG00000071398		22	20546612	20547407
ENSDARG00000077943	ints5	14	45551993	45558490
ENSDARG00000103270		22	22721223	22723783
ENSDARG00000069673	chid1	25	3788074	3800889
ENSDARG00000114797	rab3b	22	17203752	17213264
ENSDARG00000097253		2	44666705	44693315
ENSDARG00000010266	igf2bp3	19	20201254	20247336
ENSDARG00000003217	urb2	13	24231327	24263682
ENSDARG00000100280	ZNFX1	6	57401178	57426097
ENSDARG00000103807		25	28989285	29072298
ENSDARG00000037695	pcdh2aa1	14	2123323	2327853
ENSDARG00000091203	or42b2	10	36259048	36260490
ENSDARG00000089297		14	2200749	2203124
ENSDARG00000030832	otofa	20	31076488	31212556
ENSDARG00000091043	pcdh2ab6	14	2123123	2206476
ENSDARG00000061221		24	5799764	5810023
ENSDARG00000091172	or42b1	10	36251987	36254445
ENSDARG00000046132	dynlt3	11	29790626	29794308
ENSDARG00000068406	six5	18	37245331	37252036
ENSDARG00000102921	or80a7	10	36299541	36300976
ENSDARG00000037646	rgs11	1	9886991	9914630
ENSDARG00000092713		23	24545239	24547564
ENSDARG00000095224	camkmt	13	10360444	10620794
ENSDARG00000026448	med29	15	15232855	15237211
ENSDARG00000039806	tbxtb	13	4439074	4453663
ENSDARG00000098350	mxd3	14	16068318	16082806
ENSDARG00000012060	thbs3b	19	24419693	24443867
ENSDARG00000097126		16	31960916	31970381
ENSDARG00000071725		22	1940595	1945452
ENSDARG00000052677		1	46026457	46030577
ENSDARG00000003032	eif4a1b	5	24208413	24219344
ENSDARG00000092945		19	37509638	37519610
ENSDARG00000092539		2	29842588	29899878
ENSDARG00000019763	acp5a	6	8355122	8362516
ENSDARG00000092478	sdhaf1	21	21339311	21344275
ENSDARG00000007691	cul1b	24	17364745	17400472
ENSDARG00000012199	gpt2	7	41887429	41901688
ENSDARG00000014577	rhpn2	7	38349665	38393421
ENSDARG00000103737		5	13521081	13541052
ENSDARG00000075698	nkpd1	11	33284837	33291898
ENSDARG00000103644		10	36158967	36160287
ENSDARG00000077028	nat8l2	6	55819038	55831138
ENSDARG00000071091	chrm3a	17	19831676	19963718
ENSDARG00000099885	trim105	14	15972124	15990361
ENSDARG00000036494	gstcd	1	49951707	50065603
ENSDARG00000101584	si:ch211-132d3.4	7	14353922	14381369
ENSDARG00000039424	snrpb2	1	51702087	51710340
ENSDARG00000101463		4	36016763	36017577
ENSDARG00000055543	appb	9	35026415	35155089
ENSDARG00000069368	nrn1la	18	21782074	21859019
ENSDARG00000076005	PIEZO2	24	854877	945921
ENSDARG00000094012	si:dkey-192g7.3	9	35077546	35081981
ENSDARG00000071555	zgc:153675	22	812848	817479
ENSDARG00000011740	u2af2b	19	10299002	10324573
ENSDARG00000104786	nlgn3a	14	14224730	14534457
ENSDARG00000104262		4	55035164	55040507
ENSDARG00000020573	ddx3xa	9	33334501	33354738
ENSDARG00000100987		4	54759510	54765803
ENSDARG00000028119	sumo3a	6	11070261	11073880
ENSDARG00000100964		21	29189471	29197700
ENSDARG00000023318	fmn2a	17	19753559	19828505
ENSDARG00000099239		2	36117949	36118011
ENSDARG00000035214		18	33675664	33679254
ENSDARG00000096786	plekhs1.4	12	30550721	30558694
ENSDARG00000099208		2	36117394	36117456
ENSDARG00000011876	ednraa	1	36612660	36702355
ENSDARG00000101992		4	77808579	77830202
ENSDARG00000036575	si:ch73-71d17.2	7	19397129	19420334
ENSDARG00000033707	jade1	17	26828027	26850542
ENSDARG00000003699	atp7a	14	22397251	22443502
ENSDARG00000070620		16	13179146	13388821
ENSDARG00000078520	ikbip	4	77966055	77974820
ENSDARG00000100537		4	54720270	54721020
ENSDARG00000059093	ank1a	5	68899473	69041102
ENSDARG00000070362	gjb9b	19	37118547	37119891
ENSDARG00000008019	mxg	25	19695652	19715136
ENSDARG00000111536		25	36341356	36341742
ENSDARG00000024651	snrpa1	7	9290929	9305581
ENSDARG00000033684	oxgr1a.1	1	2048047	2051599
ENSDARG00000024488	top2a	12	10706772	10740236
ENSDARG00000101225		24	31402894	31425799
ENSDARG00000045527	nr2c1	4	25838345	25859305
ENSDARG00000098330	spef2	5	8355647	8406192
ENSDARG00000094634		19	40941131	40985319
ENSDARG00000061274	lss	9	38481780	38500391
ENSDARG00000062695	ccdc126	19	20163826	20177002
ENSDARG00000021402	mcm3ap	9	38457806	38483789
ENSDARG00000112867		2	36099210	36099272
ENSDARG00000058421	lgi1b	12	5189776	5204629
ENSDARG00000060350	apoda.2	2	37207461	37215989
ENSDARG00000030166	hyi	6	2619893	2627495
ENSDARG00000096782		12	26608883	26611971
ENSDARG00000092759	si:dkey-61p9.9	4	77626530	77636185
ENSDARG00000099785		4	34798625	34799395
ENSDARG00000099504		2	36097984	36098047
ENSDARG00000045525	tmcc3	4	25754725	25812329
ENSDARG00000101556	fam111.2	5	8246603	8252142
ENSDARG00000094114		5	55293099	55293673
ENSDARG00000062420	nfia	22	16839467	17052381
ENSDARG00000103885		2	36096367	36096429
ENSDARG00000102615	fra10ac1	12	5156332	5188413
ENSDARG00000013057	hoxb5a	3	23707691	23710095
ENSDARG00000077946	smarcc2	6	39836474	39866670
ENSDARG00000022974	wdr13	8	6920834	6943190
ENSDARG00000020744	bdkrb1	17	2833685	2834764
ENSDARG00000090159		22	36863599	36873016
ENSDARG00000007864		14	21005372	21007653
ENSDARG00000005049	rab20	9	8887528	8895243
ENSDARG00000040568	NHERF4	15	23452862	23467750
ENSDARG00000029308	prr15lb	12	28808645	28818734
ENSDARG00000032765	net1	4	11573568	11603149
ENSDARG00000055798	heyl	19	32553874	32560591
ENSDARG00000075382	slc9a6b	10	26571174	26597800
ENSDARG00000060280	pde9aa	9	19421841	19477248
ENSDARG00000057571	pgam2	21	19001669	19006641
ENSDARG00000076196		12	46209859	46228023
ENSDARG00000076969		2	47900506	47904090
ENSDARG00000093978	zgc:77486	8	19253205	19266413
ENSDARG00000094103		9	15901526	15902539
ENSDARG00000042555	DYM	21	3476207	3613702
ENSDARG00000095409		12	46152983	46176115
ENSDARG00000035889	zbtb8b	19	32505747	32518556
ENSDARG00000054373	b3gnt3.2	8	13572531	13574764
ENSDARG00000042510	acot20	20	28935413	28938730
ENSDARG00000068713	si:dkey-14o1.20	9	15890558	15894501
ENSDARG00000028542	si:ch211-114c12.2	5	24128908	24135569
ENSDARG00000074150		12	46231498	46252062
ENSDARG00000092692	pimr133	20	43457425	43462190
ENSDARG00000056903	mrpl13	16	15052513	15097513
ENSDARG00000093102		1	1896737	1899848
